Id,PurchaseAmount,NumItems,ShippingDistance,PaymentMethod,TransactionHour
1343,203.21,4,805.2,2,23
1339,272.64,6,669.9,3,22
190,26.18,1,71.1,0,12
1333,295.47,5,690.2,2,22
1817,184.3,3,649.3,2,23
1686,145.75,6,851.5,2,23
658,243.54,2,754.4,2,5
1847,276.03,3,851.3,2,23
555,246.55,4,583.0,3,3
1964,232.19,2,495.6,2,22
1571,199.0,4,716.3,2,22
1980,235.33,2,583.5,2,22
311,25.47,3,64.0,0,11
434,137.86,3,928.1,3,5
307,13.56,2,3.1,1,8
109,57.82,3,7.3,0,20
786,265.53,6,370.7,3,22
1401,173.68,4,337.8,2,22
1285,250.16,2,605.9,3,23
328,58.38,2,35.0,1,16
1504,245.96,4,329.9,3,23
554,205.17,7,646.7,2,4
776,218.67,2,303.4,3,3
919,187.09,5,919.8,3,5
1299,136.68,2,311.8,2,23
638,140.82,3,457.4,2,5
1858,198.52,1,740.9,2,23
1589,164.59,3,586.6,2,22
1950,199.14,6,599.4,3,22
544,241.56,5,863.8,3,3
1287,146.28,6,629.7,3,23
1312,241.28,2,244.0,3,23
1279,205.19,4,510.1,3,22
1910,245.59,6,427.5,3,23
651,219.84,2,325.4,2,4
843,165.51,5,211.2,2,3
818,231.49,6,838.4,3,2
839,140.18,1,356.6,3,5
13,17.32,3,86.8,0,21
1203,208.88,6,754.1,3,23
1146,194.11,4,821.6,3,1
823,174.32,4,620.8,2,3
1787,111.68,3,218.3,3,22
450,195.03,2,464.2,2,5
1786,129.59,2,360.5,2,23
1946,248.26,2,311.2,3,22
1648,237.6,5,381.8,3,22
92,161.18,3,71.6,0,21
536,203.09,6,725.7,2,5
566,122.5,6,533.9,2,4
1280,194.16,3,763.1,2,23
1658,212.43,4,842.1,2,22
1971,168.94,4,699.8,3,22
1334,125.33,5,739.3,2,23
701,206.94,4,424.1,2,5
559,228.78,2,976.1,3,0
358,2.9,1,27.8,1,14
1254,147.57,6,494.7,3,22
1091,168.88,1,388.3,2,1
521,175.11,3,690.3,2,3
44,16.08,3,86.4,0,10
236,1.33,3,78.3,0,11
1563,202.45,5,648.6,2,22
1289,159.13,5,402.9,2,23
1859,120.39,4,766.6,2,23
1084,251.08,3,758.8,2,3
798,222.4,3,602.0,3,4
735,316.31,4,749.5,2,2
1505,169.54,4,706.5,2,23
1934,203.42,3,472.7,2,23
1542,276.66,4,331.6,2,22
1195,174.31,5,850.9,3,3
1371,169.73,6,709.1,3,22
315,18.1,1,35.5,0,11
1398,201.36,3,923.5,3,23
961,113.75,5,815.3,2,4
1574,178.63,4,759.2,3,23
1023,162.0,3,670.6,3,0
1624,270.69,4,556.5,2,23
1506,244.62,4,333.0,2,23
1420,249.29,4,356.5,3,23
1991,163.37,2,712.8,2,23
1489,194.97,1,693.9,3,23
754,177.11,7,940.5,3,3
1342,133.08,5,947.6,2,22
891,222.26,4,624.5,2,1
65,55.42,1,5.4,0,14
583,110.38,4,863.9,2,1
305,7.67,2,42.5,0,11
857,161.15,2,575.6,2,3
565,239.23,6,408.5,2,4
793,209.0,3,220.1,2,2
1682,185.28,5,971.3,2,23
1775,165.42,5,300.8,3,22
484,218.0,5,279.2,3,1
240,29.53,1,73.8,0,19
1724,236.26,4,406.0,3,22
261,20.92,3,45.6,0,16
1300,268.2,4,811.5,2,22
1782,218.04,7,777.6,3,22
1080,190.24,5,704.9,3,3
654,151.01,5,404.5,2,3
1675,269.05,3,710.1,3,23
1286,85.29,5,326.0,3,23
1156,270.3,6,887.8,2,3
648,182.35,7,441.8,3,5
681,251.31,3,455.3,2,0
1060,146.44,4,909.7,3,4
1780,198.0,3,704.4,2,23
1533,219.48,2,594.9,2,23
29,10.43,3,48.8,0,19
329,0.81,2,61.5,0,18
1375,242.61,1,917.1,3,22
207,3.25,2,97.3,0,8
453,81.16,5,839.8,3,5
428,277.26,5,805.7,2,4
1750,240.88,5,361.2,2,23
733,167.32,4,756.1,2,2
1028,153.84,3,564.2,2,1
829,269.97,2,304.4,3,0
1612,202.7,3,236.3,2,23
595,232.92,4,876.8,2,2
788,205.27,5,228.2,2,2
918,167.89,4,908.3,3,1
1968,183.05,4,494.6,3,22
1075,203.15,4,661.6,3,1
525,209.31,3,530.1,3,4
1984,231.24,5,701.2,2,23
499,200.58,2,328.7,3,0
991,260.22,3,809.8,3,0
1021,236.95,4,919.4,3,4
105,11.66,2,1.0,1,9
848,166.64,3,724.7,2,0
959,151.14,6,903.3,2,2
712,244.11,6,232.2,3,1
422,129.37,4,739.5,2,3
205,44.01,3,79.6,0,20
709,214.23,2,538.6,2,3
1324,287.32,2,513.3,3,23
1022,271.65,6,382.8,3,0
861,169.72,7,365.8,3,4
725,152.6,5,989.2,3,4
1869,252.61,4,853.0,3,23
274,13.66,2,15.2,0,20
230,1.45,2,59.5,0,21
1001,166.16,4,442.7,2,3
1840,64.12,2,443.3,3,23
1002,222.19,2,316.3,2,5
629,272.02,2,951.1,2,5
95,26.98,2,99.9,0,16
690,142.08,2,917.4,2,1
785,92.93,6,218.4,2,0
183,6.75,1,21.2,0,8
703,200.26,2,935.1,3,0
892,229.07,3,779.9,3,2
373,7.95,3,99.4,0,11
872,155.76,3,460.9,2,1
780,174.47,3,770.9,3,1
908,113.37,2,489.2,2,0
309,25.19,1,38.4,1,19
642,243.42,2,554.3,3,3
1374,119.41,4,408.0,2,22
1385,170.5,2,228.2,2,22
210,1.51,2,85.2,1,16
395,9.45,1,70.2,0,21
156,3.54,1,60.6,0,9
586,243.28,2,803.5,2,3
976,209.47,7,396.5,2,4
111,11.43,2,42.8,1,20
1495,270.86,3,507.9,3,22
278,10.41,2,4.3,0,20
1744,121.52,6,523.0,3,23
924,214.42,5,339.0,3,3
562,225.99,8,651.7,3,0
1139,178.69,3,685.6,2,1
1238,309.77,3,847.6,2,23
1545,203.22,3,820.3,2,23
614,132.31,4,910.3,2,3
929,275.9,6,939.5,2,2
51,3.86,4,97.1,0,21
1738,160.75,2,209.6,3,22
1687,255.81,3,341.2,2,23
1707,215.66,3,671.1,2,22
1225,228.86,5,537.8,2,22
1049,155.19,4,784.2,3,4
1387,99.09,6,428.2,3,22
1271,160.27,3,763.8,3,22
1789,272.2,3,770.4,2,23
992,215.02,5,747.1,2,4
657,252.1,2,571.2,3,1
1403,236.5,2,714.2,2,22
